"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
22,4,69,1488,5,"Deleted Photos"
22,5,116,1488,5,"Deleted Photos"
22,6,34,1488,5,"Deleted Photos"
22,7,38,1488,5,"Deleted Photos"
23,0,291,1344,4,"Deleted Photos"
23,1,233,1344,4,"Deleted Photos"
23,2,126,1344,4,"Deleted Photos"
23,3,98,1344,4,"Deleted Photos"
23,4,118,1344,4,"Deleted Photos"
23,5,52,1344,4,"Deleted Photos"
23,6,32,1344,4,"Deleted Photos"
24,0,248,1256,3,"Deleted Photos"
24,1,211,1256,3,"Deleted Photos"
24,2,138,1256,3,"Deleted Photos"
24,3,131,1256,3,"Deleted Photos"
24,4,77,1256,3,"Deleted Photos"
24,5,52,1256,3,"Deleted Photos"
25,0,358,1418,2,"Deleted Photos"
25,1,266,1418,2,"Deleted Photos"
25,2,182,1418,2,"Deleted Photos"
25,3,83,1418,2,"Deleted Photos"
25,4,70,1418,2,"Deleted Photos"
26,0,283,1064,1,"Deleted Photos"
26,1,200,1064,1,"Deleted Photos"
26,2,77,1064,1,"Deleted Photos"
26,3,52,1064,1,"Deleted Photos"
0,0,641,1276,27,"Searches"
0,1,732,1276,27,"Searches"
0,2,626,1276,27,"Searches"
0,3,574,1276,27,"Searches"
0,4,553,1276,27,"Searches"
0,5,457,1276,27,"Searches"
0,6,405,1276,27,"Searches"
0,7,376,1276,27,"Searches"
0,8,389,1276,27,"Searches"
0,9,364,1276,27,"Searches"
0,10,353,1276,27,"Searches"
0,11,330,1276,27,"Searches"
0,12,330,1276,27,"Searches"
0,13,310,1276,27,"Searches"
0,14,302,1276,27,"Searches"
0,15,282,1276,27,"Searches"
0,16,263,1276,27,"Searches"
0,17,288,1276,27,"Searches"
0,18,249,1276,27,"Searches"
0,19,288,1276,27,"Searches"
0,20,265,1276,27,"Searches"
0,21,275,1276,27,"Searches"
0,22,276,1276,27,"Searches"
0,23,272,1276,27,"Searches"
0,24,255,1276,27,"Searches"
0,25,249,1276,27,"Searches"
0,26,252,1276,27,"Searches"
0,27,237,1276,27,"Searches"
0,28,213,1276,27,"Searches"
0,29,194,1276,27,"Searches"
1,0,667,1375,26,"Searches"
1,1,780,1375,26,"Searches"
1,2,655,1375,26,"Searches"
1,3,599,1375,26,"Searches"
1,4,561,1375,26,"Searches"
1,5,512,1375,26,"Searches"
